"date","Wilshire5000","CorpProfits","FedFundsRate","UnempRate"
2005-04-01,40.79046875,1206.249,2.94333333333333,5.1
2005-07-01,42.92296875,1251.723,3.46,4.96666666666667
2005-10-01,43.3852380952381,1319.957,3.98,4.96666666666667
2006-01-01,45.8104838709677,1352.85,4.45666666666667,4.73333333333333
2006-04-01,46.0292063492063,1391.705,4.90666666666667,4.63333333333333
2006-07-01,46.0453968253968,1409.044,5.24666666666667,4.63333333333333
2006-10-01,50.0011111111111,1358.655,5.24666666666667,4.43333333333333
2007-01-01,51.8552459016393,1270.812,5.25666666666667,4.5
2007-04-01,54.6806349206349,1341.698,5.25,4.5
2007-07-01,54.478253968254,1285.345,5.07333333333333,4.66666666666667
2007-10-01,55.05,1313.691,4.49666666666667,4.8
2008-01-01,49.8714754098361,1203.491,3.17666666666667,5
2008-04-01,51.19484375,1229.619,2.08666666666667,5.33333333333333
2008-07-01,47.255,1188.823,1.94,6
2008-10-01,34.03984375,671.444,0.506666666666667,6.86666666666667
2009-01-01,30.6268852459016,1044.256,0.183333333333333,8.26666666666667
2009-04-01,34.4380952380952,1120.618,0.18,9.3
2009-07-01,38.82421875,1273.189,0.156666666666667,9.63333333333333
2009-10-01,42.60703125,1374.367,0.12,9.93333333333333
2010-01-01,44.5898360655738,1450.187,0.133333333333333,9.83333333333333
2010-04-01,45.5846031746032,1436.755,0.193333333333333,9.63333333333333
2010-07-01,44.2203125,1499.071,0.186666666666667,9.46666666666667
2010-10-01,49.27390625,1494.46,0.186666666666667,9.5
2011-01-01,53.6461290322581,1350.245,0.156666666666667,9.03333333333333
2011-04-01,54.5598412698413,1423.145,0.0933333333333333,9.06666666666667
2011-07-01,50.6925,1430.386,0.0833333333333333,9
2011-10-01,50.6730158730159,1507.073,0.0733333333333333,8.63333333333333
2012-01-01,56.2487096774194,1727.387,0.103333333333333,8.26666666666667
2012-04-01,56.2801587301587,1654.792,0.153333333333333,8.2
2012-07-01,58.5177777777778,1686.634,0.143333333333333,8.03333333333333
2012-10-01,59.6627419354839,1663.949,0.16,7.8
2013-01-01,64.625,1679.486,0.143333333333333,7.73333333333333
2013-04-01,68.96953125,1658.148,0.116666666666667,7.53333333333333
2013-07-01,72.6378125,1685.601,0.0833333333333333,7.23333333333333
2013-10-01,77.26640625,1730.336,0.0866666666666667,6.93333333333333
2014-01-01,80.9555737704918,1650.459,0.0733333333333333,6.66666666666667
2014-04-01,83.5120634920635,1736.517,0.0933333333333333,6.23333333333333
2014-07-01,86.99640625,1786.215,0.09,6.1
2014-10-01,88.32671875,1801.848,0.1,5.7
2015-01-01,91.5075409836066,1679.364,0.11,5.56666666666667
2015-04-01,93.8679365079365,1744.157,0.123333333333333,5.4
2015-07-01,90.6296875,1686.102,0.136666666666667,5.1
2015-10-01,91.1134375,1494.904,0.16,5
2016-01-01,86.0485245901639,1619.64,0.36,4.93333333333333
2016-04-01,92.53609375,1652.132,0.373333333333333,4.86666666666667
2016-07-01,97.38234375,1692.443,0.396666666666667,4.93333333333333
2016-10-01,99.3838095238095,1787.386,0.45,4.73333333333333
2017-01-01,106.462258064516,1810.509,0.7,4.66666666666667
2017-04-01,109.988095238095,1774.729,0.95,4.33333333333333
2017-07-01,113.484126984127,1858.388,1.15333333333333,4.3
2017-10-01,120.347619047619,1680.25,1.20333333333333,4.1
2018-01-01,126.824098360656,1858.939,1.44666666666667,4.1
